,planner,n_imgs,wall,floor,cabinet,bed,chair,sofa,table,door,window,bookshelf,picture,counter,blinds,desk,shelves,curtain,dresser,pillow,mirror,floor mat,clothes,ceiling,books,refridgerator,television,paper,towel,shower curtain,box,whiteboard,person,night stand,toilet,sink,lamp,bathtub,bag,otherstructure,otherfurniture,otherprop,mIoU
0,RandomMoving_1621970953.364795,400,76.4343096484318,80.69319954187496,0.0,27.777515481628726,71.06460172199058,65.3986221687895,61.76792068427492,13.843053176798444,58.06896671000932,0.0,82.96774042229337,75.23239721275971,0.0,0.0,0.0,75.95640367120804,0.0,55.91096394615192,0.0,82.44275925543158,0.0,84.9435873223444,1.4781159282114338,0.0,72.04558123993368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.48822624898242,61.556150246779055,0.0,0.0,0.0,71.66945423770962,53.305347426634555,59.702246704244686
1,BumpAndRotate_1_1621951722.9827166,1000,81.14313904483953,88.63512410301442,0.0,79.60680790508943,80.87509894355549,86.99415577406438,82.14121520414065,45.057045416825055,71.49580413029264,0.0,87.8692737092723,81.6184780321664,0.0,0.0,0.0,82.1721472349457,0.0,82.4277099923416,0.0,88.5498000780388,0.0,89.05700337015611,48.96848341232227,0.0,80.07714215846896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.28868702879555,75.37854994415277,0.0,0.0,0.0,79.3842345478456,61.7071563200549,76.97235396449656
2,ExplorationPlanner_RT_1,750,69.86006860838853,77.26156309415819,0.0,58.622602713601644,49.94108246356258,50.72296721111767,37.7893938421696,43.38994258257199,44.35473242661124,0.0,72.98589306799502,53.745622921437565,0.0,0.0,0.0,68.13024954788037,0.0,51.894484570794766,0.0,80.08401111188076,0.0,79.95903539759584,27.212278041669236,0.0,57.27469948848827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.611982514785292,26.94414321881572,0.0,0.0,0.0,40.973468815251806,43.684924152407795,52.02215806474974
3,BumpAndRotate_1_1621951722.9827166,100,63.800080018985085,65.66347816501369,0.0,0.0,16.186322721378318,54.2488217720833,38.79267759702867,0.0,37.03338356937455,0.0,74.59006475083558,65.05605183121513,0.0,0.0,0.0,60.44229243192734,0.0,40.32681090669577,0.0,74.69517076841785,0.0,66.64445561666032,0.0,0.0,35.73452095386525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.71293375394322,45.66483607921451,0.0,0.0,0.0,60.94467916728493,40.22053029967686,51.27983021477345
4,BumpAndRotate_1_1621951722.9827166,1513,82.22284742569327,89.24464520857195,0.0,80.20385822660278,80.74339621412261,88.1524873512725,83.2025026282363,50.23651192944045,71.71218165372544,0.0,88.02840081665137,83.55443386966331,0.0,0.0,0.0,83.29933267543166,0.0,86.02781219881592,0.0,89.14029484754133,0.0,89.37180233133749,47.740913875008296,0.0,80.70817628101189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.28614557527006,79.38685946735873,0.0,0.0,0.0,82.40887320683204,61.28790726612125,78.39797032065621
5,BumpAndRotate_1_1621951722.9827166,50,61.20610460632963,69.26402142177967,0.0,0.0,24.79537974475805,49.71001135718724,29.957005809202197,0.0,34.99043792377383,0.0,73.22551410637996,56.189946849956954,0.0,0.0,0.0,61.7635088162801,0.0,41.064770871571554,0.0,70.99272712897647,0.0,71.99959798320444,0.0,0.0,18.454280805542197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.05910093421076,29.688873927339106,0.0,0.0,0.0,55.54789817728873,36.32443445790321,47.131389288618344
6,ExplorationPlanner_RT_1,200,60.33456583356076,73.3800204169302,0.0,45.98010497672966,37.35540387303919,45.53747900803195,37.45191766533345,14.646021278316807,32.86664473004498,0.0,75.34877112208541,55.944377183512465,0.0,0.0,0.0,46.71653577792802,0.0,43.644397656282464,0.0,76.57012826678492,0.0,62.25639951075521,3.392240178545698,0.0,46.902174894716325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.317093797109976,22.38483376357637,0.0,0.0,0.0,46.34919604253331,40.04193262637904,43.77101258234871
7,CuriosityPlanner_1_1621960435.816536,1000,68.50740075284807,78.22445850846695,0.0,68.19893767258817,50.86354496181214,56.323594370010525,44.16037499839635,49.66932711517656,44.3242199381068,0.0,75.2234240204055,53.27687334901775,0.0,0.0,0.0,69.91913277765194,0.0,53.31828195251408,0.0,80.11440482277457,0.0,76.98741961299538,27.474750728886455,0.0,59.217354199918354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.661683939061085,34.65542453431727,0.0,0.0,0.0,45.47099632230024,45.09066643647548,55.83411438267931
8,RandomMoving_1621970953.364795,50,54.53280733823727,69.47442326583642,0.0,0.0,4.121395641210834,44.64455106165603,28.709814106617014,0.0,29.053104532406035,0.0,64.04048110582534,52.219294610875366,0.0,0.0,0.0,67.56507500203683,0.0,38.781218318520764,0.0,75.84290567712502,0.0,70.08423300212175,0.0,0.0,18.120099763980758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.356638085367003,24.3888512498865,0.0,0.0,0.0,50.32713309885401,37.276380636958514,43.79637701594925
9,ExplorationPlanner_RT_1,50,49.43483548937445,56.98723879984814,0.0,15.030933791030042,7.282225094025021,17.381786140069707,23.287153296188844,0.0,17.03737200110054,0.0,51.43769980598692,24.185703354356534,0.0,0.0,0.0,24.81374076512782,0.0,15.950416339017375,0.0,71.86610308181803,0.0,46.38434130458894,0.0,0.0,23.577935679270283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.262189658496751,0.0,0.0,0.0,24.518742788732638,26.15782121906522,29.56448473414201
